ligand,affinity
ZINC000001534965,-6
ZINC000001542930,-6
ZINC000001997125,-6
ZINC000003780893,-6
ZINC000003784120,-6
ZINC000003792417,-6
ZINC000003792789,-6
ZINC000003798757,-6
ZINC000003800475,-6
ZINC000003812841,-6
ZINC000003812974,-6
ZINC000003818808,-6
ZINC000003861806,-6
ZINC000003871832,-6
ZINC000003873160,-6
ZINC000003873296,-6
ZINC000003922770,-6
ZINC000003960338,-6
ZINC000003989268,-6
ZINC000004095858,-6
ZINC000004097404,-6
ZINC000004217732,-6
ZINC000005162311,-6
ZINC000007997966,-6
ZINC000008577218,-6
ZINC000011615927,-6
ZINC000012402836,-6
ZINC000019144231,-6
ZINC000019632670,-6
ZINC000019796018,-6
ZINC000022010649,-6
ZINC000022059930,-6
ZINC000028232750,-6
ZINC000030691736,-6
ZINC000033943508,-6
ZINC000043195697,-6
ZINC000084589076,-6
ZINC000085555528,-6
ZINC000100013500,-6
ZINC000100014475,-6
ZINC000000000456,-5.9
ZINC000000000575,-5.9
ZINC000000000853,-5.9
ZINC000000000856,-5.9
ZINC000000001145,-5.9
ZINC000000001587,-5.9
ZINC000000001655,-5.9
ZINC000000004778,-5.9
ZINC000000005423,-5.9
ZINC000000009689,-5.9
ZINC000000020240,-5.9
ZINC000000020245,-5.9
ZINC000000020248,-5.9
ZINC000000044027,-5.9
ZINC000000057313,-5.9
ZINC000000057512,-5.9
ZINC000000120286,-5.9
ZINC000000120319,-5.9
ZINC000000537752,-5.9
ZINC000000584092,-5.9
ZINC000000592419,-5.9
ZINC000000601254,-5.9
ZINC000000897002,-5.9
ZINC000000968255,-5.9
ZINC000000968305,-5.9
ZINC000001530571,-5.9
ZINC000001530579,-5.9
ZINC000001530814,-5.9
ZINC000001611274,-5.9
ZINC000001843099,-5.9
ZINC000001997127,-5.9
ZINC000002568036,-5.9
ZINC000003810860,-5.9
ZINC000003812851,-5.9
ZINC000003812869,-5.9
ZINC000003827556,-5.9
ZINC000003830212,-5.9
ZINC000003830321,-5.9
ZINC000003830391,-5.9
ZINC000003830500,-5.9
ZINC000003831417,-5.9
ZINC000003920719,-5.9
ZINC000003938744,-5.9
ZINC000003977764,-5.9
ZINC000003978006,-5.9
ZINC000004097309,-5.9
ZINC000004474443,-5.9
ZINC000009212427,-5.9
ZINC000011615926,-5.9
ZINC000012414057,-5.9
ZINC000012484958,-5.9
ZINC000012503099,-5.9
ZINC000013129998,-5.9
ZINC000019362735,-5.9
ZINC000019632834,-5.9
ZINC000022059926,-5.9
ZINC000022116608,-5.9
ZINC000022116612,-5.9
ZINC000072267023,-5.9
ZINC000085537014,-5.9
ZINC000100009278,-5.9
ZINC000101489663,-5.9
ZINC000252679615,-5.9
ZINC000253498282,-5.9
ZINC000000000431,-5.8
ZINC000000001758,-5.8
ZINC000000002041,-5.8
ZINC000000002191,-5.8
ZINC000000002216,-5.8
ZINC000000002279,-5.8
ZINC000000007601,-5.8
ZINC000000014257,-5.8
ZINC000000056556,-5.8
ZINC000000119717,-5.8
ZINC000000402909,-5.8
ZINC000000403533,-5.8
ZINC000000527386,-5.8
ZINC000000601283,-5.8
ZINC000000608101,-5.8
ZINC000000621853,-5.8
ZINC000000896595,-5.8
ZINC000000896740,-5.8
ZINC000000897256,-5.8
ZINC000000968233,-5.8
ZINC000000968275,-5.8
ZINC000001280665,-5.8
ZINC000001530652,-5.8
ZINC000001530689,-5.8
ZINC000001530725,-5.8
ZINC000001530759,-5.8
ZINC000001530968,-5.8
ZINC000001542199,-5.8
ZINC000001571009,-5.8
ZINC000002525885,-5.8
ZINC000003201907,-5.8
ZINC000003604264,-5.8
ZINC000003607120,-5.8
ZINC000003781943,-5.8
ZINC000003794601,-5.8
ZINC000003799072,-5.8
ZINC000003806721,-5.8
ZINC000003830215,-5.8
ZINC000003831139,-5.8
ZINC000003831531,-5.8
ZINC000003871703,-5.8
ZINC000003920355,-5.8
ZINC000004215736,-5.8
ZINC000004474682,-5.8
ZINC000004676424,-5.8
ZINC000004693574,-5.8
ZINC000008214402,-5.8
ZINC000009212428,-5.8
ZINC000009212654,-5.8
ZINC000012404516,-5.8
ZINC000013818943,-5.8
ZINC000014210455,-5.8
ZINC000014210457,-5.8
ZINC000019594599,-5.8
ZINC000019632912,-5.8
ZINC000021297660,-5.8
ZINC000026011099,-5.8
ZINC000029319828,-5.8
ZINC000035653007,-5.8
ZINC000036766734,-5.8
ZINC000095619101,-5.8
ZINC000096014710,-5.8
ZINC000000000471,-5.7
ZINC000000000850,-5.7
ZINC000000003642,-5.7
ZINC000000056652,-5.7
ZINC000000057253,-5.7
ZINC000000057278,-5.7
ZINC000000057435,-5.7
ZINC000000105216,-5.7
ZINC000000113410,-5.7
ZINC000000154964,-5.7
ZINC000000491073,-5.7
ZINC000000538266,-5.7
ZINC000000602128,-5.7
ZINC000000896463,-5.7
ZINC000000896709,-5.7
ZINC000000896968,-5.7
ZINC000000897322,-5.7
ZINC000001529323,-5.7
ZINC000001530618,-5.7
ZINC000001530769,-5.7
ZINC000001530940,-5.7
ZINC000001530948,-5.7
ZINC000001690324,-5.7
ZINC000002015928,-5.7
ZINC000002020233,-5.7
ZINC000002036848,-5.7
ZINC000002548959,-5.7
ZINC000003782807,-5.7
ZINC000003791297,-5.7
ZINC000003808779,-5.7
ZINC000003812888,-5.7
ZINC000003830339,-5.7
ZINC000003871967,-5.7
ZINC000003871978,-5.7
ZINC000003874715,-5.7
ZINC000003875259,-5.7
ZINC000003938652,-5.7
ZINC000003990451,-5.7
ZINC000004097310,-5.7
ZINC000004474405,-5.7
ZINC000004618208,-5.7
ZINC000008552123,-5.7
ZINC000009164421,-5.7
ZINC000011615928,-5.7
ZINC000012503291,-5.7
ZINC000013648755,-5.7
ZINC000018279854,-5.7
ZINC000019228902,-5.7
ZINC000019364229,-5.7
ZINC000022002214,-5.7
ZINC000022002218,-5.7
ZINC000022443609,-5.7
ZINC000028973446,-5.7
ZINC000030691727,-5.7
ZINC000035653009,-5.7
ZINC000049841054,-5.7
ZINC000049933061,-5.7
ZINC000087515509,-5.7
ZINC000095452610,-5.7
ZINC000095619100,-5.7
ZINC000100032379,-5.7
ZINC000169621223,-5.7
ZINC000253476027,-5.7
ZINC000000000565,-5.6
ZINC000000001931,-5.6
ZINC000000006156,-5.6
ZINC000000020244,-5.6
ZINC000000034157,-5.6
ZINC000000035804,-5.6
ZINC000000056653,-5.6
ZINC000000156792,-5.6
ZINC000000622123,-5.6
ZINC000000896455,-5.6
ZINC000000896958,-5.6
ZINC000001530611,-5.6
ZINC000001530639,-5.6
ZINC000001530654,-5.6
ZINC000001530752,-5.6
ZINC000001530760,-5.6
ZINC000001530935,-5.6
ZINC000001546066,-5.6
ZINC000001548097,-5.6
ZINC000001576892,-5.6
ZINC000003779042,-5.6
ZINC000003806104,-5.6
